Title,First Paragraph
Paul Scofield,"<START> Ni David Paul Scofield, kaaduan nga ammo a kas ni Paul Scofield, ket maysa idi nga Ingles nga aktor ti entablado ken pelikula. <END>"
Henrik Pontoppidan,<START> Ni Henrik Pontoppidan ket maysa idi a realista a mannurat a nakibinningay kenni Karl Gjellerup ti Premio Nobel iti Literatura idi 1917 para iti 'autentiko a deskripsionna iti agdama a kabibiag idiay Dinamarka.' <END>
Tom Hanks,"<START> Ni Thomas Jeffrey Hanks ket Amerikano nga aktor ken agpatpataud iti pelikula. Isu ket ammo kadagiti papelna iti Splash (1984), Big (1988), Philadelphia (1993), Forrest Gump (1994), Apollo 13 (1995), Saving Private Ryan, You've Got Mail, The Green Mile (1999), Cast Away (2000), The Da Vinci Code (2006), Captain Phillips, ken Saving Mr. Banks, ken ti pay obra iti boses kadagiti animado a serye iti The Polar Express (2004) ken ti Toy Story. <END>"
Carl Spitteler,<START> Ni Carl Friedrich Georg Spitteler ket maysa idi a Suiso a mannaniw a nagunggunaan ti Premio Nobel iti Literatura idi 1919. Dagiti obrana ket mairaman dagiti pesimista ken natured a dandaniw. <END>
Donald Trump,"<START> Ni Donald John Trump ket maysa nga Amerikano a negosiante, personalidad ti telebision, politiko, ken ti Maika-45 a Presidente ti Estados Unidos. <END>"
Geraldine Page,"<START> Ni Geraldine Sue Page ket maysa idi nga Amerikana nga aktres ti pelikula, telebision ken entablado. Isu ket namin-walo a nominado iti Gunguna ti Akademia, nainominado isuna idi para iti Hondo (1953), Summer and Smoke (1961), Sweet Bird of Youth (1962), You're a Big Boy Now (1966), Pete 'n' Tillie (1972), Interiors (1978) ken ti The Pope of Greenwich Village (1984), sakbay a nangabak iti Kalaingan nga Aktres para iti pannagiladawanna a kas ni Carrie Watts iti The Trip to Bountiful (1985). <END>"
Heart Evangelista,"<START> Ni Heart Evangelista ket Filipina nga aktres, mangsansangaili iti pabuya ti telebision, kumakanta, ken VJ. <END>"
Gloria Swanson,"<START> Ni Gloria May Josephine Swanson ket maysa idi nga Amerikana nga aktres, kumakanta ken produser a kaaduan nga ammo para iti papelna a kas ni Norma Desmond, ti reklusibo a bida ti naulimek a pelikula, iti kritikal a naipammadayawan a pelikula idi 1950 iti Sunset Boulevard. <END>"
George Washington,"<START> Ni George Washington ket isu ti immuna a Presidente iti Estados Unidos iti Amerika, a nagserbi manipud idi 1789 aginggana idi 1797, ken isu ti nangruna a militar ken politikal a daulo iti Estados Unidos manipud idi 1775 aginggana idi 1799. Indauloanna ti Amerikano a panagballigi iti Gran Britania iti Rebolusionario a Gubat ti Amerikano a kas ti Agbilbilin a mangipangulo iti Kontinental a Buyot manipud idi 1775 aginggana idi 1783, ken nagipangulo iti panakaisurat iti Batay-linteg idi 1787. Ni Washington ket nagbalin ti umuna apresidente, babaen ti nagtutunos a panagpili, kenisu ti nagidaulo ti panakapartuat iti maysa a napigsa, nasayaat a nabusbusan a nailian a gobierno a nagtaripato ti neutralidad kadagiti gubat a rimsua idiay Europa, nagpatalna kadagiti rebelion, ken nakaala kadagiti panagawat kadagiti nadumaduma a kita ti Amerikano. Ti estilo ti panagidaulona ket nangipatakder kadagiti adu a porma ken ritos iti gobierno a naus-usaren manipud idin, a kas ti panagusar ti maysa a gabinete a sistema ken ti panagital-o ti panagrugi a bitla. Ni Washington ket sangalubongan a naipammategan a kas ti 'Ama ti Pagilianna.' <END>"
Marian Anderson,"<START> Ni Marian Anderson ket maysa idi nga Amerikana a contralto ken maysa kadagiti kaselebraduan a kumakanta iti maika duapulo a siglo. Kinuna ni Alan Blyth ti kritiko iti musika: 'Napintas idi ti bosesna, natinggaw a contralto iti intrinsiko a kapintas.' Kaaduan iti pagsapulanna iti panagkanta ket iti panagpabpabuya iti konserto ken iti panagresita kadagiti nangruna a pasamak iti musika nga agraman kadagiti nadayeg nga orkestra iti amin a paset ti Estados Unidos ken Europa idi baetan ti 1925 ken 1965. Urayno naidatona kadagiti papel kadagiti adu nga importante a kompania ti orkestra idiay Europa, saan met a nagkayat ni Anderson, gapu ta saan met a nagsanay iti panangipapel. Kinaykayatna idi iti panagpabuya iti konserto ken panagresita laeng. <END>"
Anna May Wong,"<START> Ni Anna May Wong ket isu idi ti immuna nga Insik Amerikano a nagbida iti pelikula, ken ti immuna a Asiano Amerikano nga aktres a nakagun-od iti sangalubongan a pannakabigbig. Ti atiddog ken nagdumaduma a karerna ket mairaman iti naulimek ken adda uni a pelikula, telebision, teatro ken radio. <END>"
Asta Nielsen,"<START> Ni Asta Nielsen ket maysa idi a Danes nga aktres iti naulimek a pelikula ken maysa maysa kadagiti kadayegan a nagbida a babbalasang kadagiti tawen ti 1990 ken maysa kadagiti immuna a sangalubongan a bida ti pelikula. Pitopulo kadagiti 74 a pelikula ni Nielsen ket naaramid idiay Alemania nga idiay ket simple laeng nga ammo a kas Die Asta. Ammo para iti dakkel ken nangisit a mata, kasla maskara a rupa ken lakien a pigura, ni Nielsen ket kaaduan a nangiladawan iti napigsa iti nakem a naregget a babbai a nakulong babaen dagiti trahiko a sirkumstansia. Gapu ti erotika a kasasaad dagiti pabuyana, dagiti pelikula ni Nielsen ket nakaruda a nasensura idiay Estados Unidos ken dagiti obrana ket ralatibo a saan unay nga ammo kadagiti agpuybuya a taga-Amerika. <END>"
Roberto Benigni,"<START> Ni Roberto Remigio Benigni, Cavaliere di Gran Croce OMRI ket Italiano nga aktor, komidiante, mannurat ti senario ken direktor. Isu ket kimmuyog a nagsurat, nangiturong ken nagarte iti pelikula ti 1997 iti Life Is Beautiful, ken isu daytoy iti nangabakanna iti Kalaingan nga Aktor ken Gunguna ti Akademia para iti Kalaingan a Pelikula ti Ganaganaet a Pagsasao. <END>"
Sarah Geronimo,"<START> Ni Sarah Geronimo ket Filipina a kumakanta, aktres ken personalidad iti telebision. <END>"
Taylor Lautner,"<START> Ni Taylor Daniel Lautner ket Amerikano nga aktor, ken modelo. <END>"
Jeremy Renner,"<START> Ni Jeremy Lee Renner ket Amerikano nga aktor, kumakanta, ken produser ti pelikula. <END>"
Tsai Ing-wen,"<START> Ni Tsai Ing-wen ket ti presidente ti Republika ti Tsina (Taiwan) ken ti immuna a babai a nabutosan iti opisina. Isu pay ti immuna a presidente a Hakka ken Aborihinal a kaputotan, isunto ti umuna a balasang a presidente ken ti umuna a mangtengngel iti puesto iti nabutosan a puesto. Isunto ti agbalin a maikadua a babai a daulo iti estado iti Daya nga Asia kalpasan ti agdama a Presidente ti Abagatan a Korea a ni Park Geun-hye. Isu ti agdama a mangipangulo a babai iti Partido Demokratiko Progresibo (DPP),ken ti kandidato iti presidente ti partido iti panagbubutos ti presidente ti Taiwan idi 2012 ken 2016. Ni Tsai ket dati a nagserbi a kas mangipangulo iti partido manipud idi aginggana idi 2012. <END>"
Ernest Hemingway,"<START> Ni Ernest Miller Hemingway ket maysa nga Amerikano a nobelista ken mannurat iti ababa-a-sarita. Dagiti obrana, a nagtaud iti nasakup a padpadasna iti Umuna a Sangalubongan a Gubat, iti Sivil a Gubat iti Espania, ken iti Maikadua a Sangalubongan a Gubat, ket ibagian ti napatak a minimalismo ken kinagagangay; dagitoy nga obra ket nangisaknap iti napateg nga impluensia iti pannakapatanor ti maika-20 a siglo a piksion. Dagiti agbibiag kadagiti obra ni Hemingway ket kadawyan a natibker a lallalaki, a masansan a maawatan kas ladawan a mismo ti karakter ni Hemingway, a nasken a mangsanay iti kinamanangaasi iti di mapakpakadaan a gundaway ken panawen. Adu kadagiti obrana, kas iti Sumingising met ti Init, Maysa a Panagpakada iti Ig-igam Ti Lakay ken ti Baybay, ket mabigbig itan kas klasiko iti pagrukodan ti literatura nga Amerikano. <END>"
Octave Mirbeau,"<START> Ni Octave Mirbeau (1848-1917), maysa a mannurat a Pransés, nobelista, dramaturgo, kritiko iti literatura ken aktibista iti politika. <END>"
Chris Pine,<START> Ni Christopher Whitelaw 'Chris' Pine ket Amerikano nga aktor iti pelikula ken telebision. <END>
Charlotte Rampling,"<START> Ni Tessa Charlotte Rampling, ket maysa nga Ingles nga aktres, modelo ken kumakanta iti Pagasaso nga Ingles, Italiano ken Pranses a sinema. Isu ket kinabaliero idi Enero 2000 para kadagiti serbisiona kadagiti arte ken nakaawat iti Legion d'Honneur idiay Pransia idi 2002. <END>"
Bonnie Raitt,"<START> Ni Bonnie Lynn Raitt ket Amerikana a kumakanta iti blues, mannurat iti kanta ken aggitgitara iti slide a gitara. Idi las-ud dagiti tawen ti 1970, ni Raitt ket nangipablaak kadagiti serye dagiti album a naimpluensian iti Amerikana a musika a nanginkorporado kadagiti elemento ti blues, rock, folk ken country. Idi 1989 kalpasan dagiti napalabas a tawen iti nasayaat a pammadayaw ngem awan unay iti komersial a panagballigi, isu ket addaan iti nangruna a panagsubli iti publiko a prominensia babaen iti panagipablaakna iti bukodna nga album iti Nick of Time. Dagiti simmaruno a dua nga album iti Luck of the Draw (1991) ken Longing in Their Hearts (1994) ket riwriwda pay a nailaklako ket nakapataud kadagiti nadumaduma nga adu a nalako a single, a mairaman ti 'Something to Talk About', 'Love Sneakin' Up on You', ken ti balada nga 'I Can't Make You Love Me'. Ni Raitt ket nakaawat kadagiti 10 a Grammy Award. Isu ket nailista a kas bilang 50 iti listaan ti magasina ti Rolling Stone kadagiti 100 a Kalatakan a Kumakanta iti Amin a Panawen ken bilang 89 iti listaanda kadagiti 100 a Kalatakan a Gitarista iti Amin a Panawen. <END>"
Alice Munro,"<START> Ni Alice Ann Munro ket maysa a Kanadiana a mannurat nga agsursurat iti Ingles. Ti obra ni Munro ket naipalawagen a kas addaan ti rebolusionario nga arkitektura kadagiti ababa a sarita, a naipangpangruna ti gaganayna a mapan iti masakbayan ken napalabas a panawen. <END>"
George H. W. Bush,"<START> Ni George Herbert Walker Bush ket maysa nga Amerikano a politiko a nagserbi idi a kas ti maika-41 a Presidente iti Estados Unidos (1989–93). Isu ket dati a nagserbi a kas ti maika-43 a Bise Presidente iti Estados Unidos (1981–89), maysa a kongregista, maysa nga embahador, maysa a Direktor ti Tengnga a Saririt, ken ti agdama a kalakayan a sibibiag a presidente. <END>"
Jimmy Carter,"<START> Ni James Earl 'Jimmy' Carter, Jr. ket maysa nga Amerikano a politiko a nagserbi a kas ti maika-39 a Presidente iti Estados Unidos (1977–1981) ket nagunggunaan idi ti 2002 Premio Nobel ti Kappia, ti isi-su laeng a Presidente ti Estados Unidos a nakagun-od ti daytoy a Premio kaplasan idi rimmuar iti opisina. Sakbay a nagbalin a Presidente, ni Carter ket nagserbi a kas maysa nga opisial ti Marina ti Estados Unidos, maysa idi nga agtaltalon iti mani, nagserbi ti dua a termino a kas ti maysa a Senador ti Estado ti Georgia ken maysa a kas ti Gobernador iti Georgia (1971–1975). <END>"
Rowan Atkinson,"<START> Ni Rowan Sebastian Atkinson, CBE ket Ingles nga aktor, komidiante, ken dramaturgo a kaaduan nga ammo para iti obrana kadagiti sitcom ti Blackadder ken Mr. Bean. Isu ket inlista ti The Observer a kas maysa kadagiti 50 a nakakatkatawa nga aktor iti Briton a komedia ken maysa kadagiti 50 a kalaingan a komediante. <END>"
Pedro Bukaneg,"<START> Ni Pedro Bukaneg ket maysa a bulsek a dumadallot, mannurat, orador, musikero ken lingguista a makasao iti pagsasao nga Ilokano, Espaniol, Latin ken Tingguian, ti maibilang nga ama ti literatura nga Ilokano ken dagiti mannurat nga Ilokano, isu ti mabigbig a nangisurat iti kaunaan a bersion ti epiko dagiti Ilokano nga 'Biag ni Lam-ang', a mapattapatta a maidaldalloten sakbay pay a simmangbay dagiti Kastila iti Filipinas. <END>"
Alfred Nobel,"<START> Ni Alfred Bernhard Nobel ket maysa idi a Sueko a kimiko, inheniero, inbentor, ken nagpatpataud kadagiti armamento. <END>"
Jean Gabin,"<START> Ni Jean Gabin ket maysa idi a Pranses nga aktor ken sagpaminsan a kumakanta. Naikeddeng isuna a kas nangruna a pigura iti sinema ti Pransia, isu ket nagbida kadagiti nadumaduma a klasiko a pelikula a mairaman ti Pépé le Moko (1937), La grande illusion (1937), Le Quai des brumes (1938), La bête humaine (1938), Le jour se lève (1939), ken Le plaisir (1952). Ni Gabin ket inaramid idi a kameng ti Légion d'honneur, gapu ti kinapangruna ti papelna iti Sinema ti Pransia. <END>"
Simon Pegg,"<START> Ni Simon John Pegg ket Ingles nga aktor, komidiante, mannurat para iti pelikula, produser, kumakanta, ken direktor. <END>"
Andrew Garfield,"<START> Ni Andrew Russell Garfield ket Amerikano-Ingles nga aktor. Naiyanak idiay Los Angeles, California ken dimmakkel idiay Epsom, Surrey, nairugi ti karer ni Garfield iti teatro ti Nagkaykaysa a Pagarian ken kadagiti produksion ti telebision. <END>"
Ted Hawkins,"<START> Ni Ted Hawkins ket maysa idi nga Amerikano a kumakanta ken mannurat iti kanta. Naiyanak isuna idiay Biloxi, Mississippi, Estados Unidos. <END>"
Gerald Anderson,"<START> Ni Gerald Randolph Opsima Anderson, Jr. ket maysa nga aktor manipud idiay Filipinas. <END>"
Orhan Pamuk,"<START> Ni Ferit Orhan Pamuk, ammo pay a kas ni Orhan Pamuk, ket Turko a nobelista. Isuna pay ti Robert Yik-Fong Tam a Propesor iti Nagtagitaoan idiay Unibersidad ti Columbia, nga idiay ket agisursuro ti komparatibo a literatura ken mannurat. <END>"
Amado V. Hernandez,"<START> Ni Amado Vera Hernandez ket maysa a Tagalog a mannaniw, dramaturgo ken nobelista a mairaman kadagiti mannurat a Filipino a mangsalsalimetmet ken mangitagtag-ay iti 'maseknan nga arte.' Iti panirigan ni Hernandez, ti akem ti maysa a mannurat ket agpaay a kas konsensia ti kagimongan ken kas mangpasingked iti kinaindaklan ti espiritu ti tao iti laksid ti saan a panagpapatas ken panangidadanes. Dagiti obra ni Hernandez iti prosa a Tagalog ket naisalumina iti kaaduan. Ti nobelana a Mga Ibong Mandaragit, a sinuratna kabayatan a naikursong iti pagbaludan, ket ti umuna a sosio-politikal a nobela a nangipalgak iti saksakiten ti kagimongan kas naparangarang kadagiti parikut nga agrario iti dekada 50. <END>"
Pantaleon Alvarez,"<START> Ni Pantaleon 'Bebot' Diaz Alvarez ket ti agdama a Tagabitla ti Kamara dagiti Pannakabagi ti Filipinas ken mangirepresenta ti Umuna a Distrito ti Davao del Norte, ti Filipinas. <END>"
Mike Pence,"<START> Ni Michael Richard  'Mike' Pence ket maysa nga Amerikano a politiko ken isu ti maika-48 a Bise Presidente iti Estados Unidos manipud idi Enero 20, 2017 anginggana idi Enero 20, 2021, ken dati a nagserbi a kas maika-50 a Gobernador ti Indiana manipud idi 2013 aginggana idi 2017. <END>"
José Alejandrino,<START> Ni José Cándido Alejandrino y Magdangal ket maysa kadagiti Filipino a heneral idi las-ud ti Yaalsa ti Filipino ken ti Gubat ti Filipino-Amerikano. Isu pay ket maysa a senador ti Maika-12 a Senatorial a Distrito ti Filipinas. <END>
Mariano Trías,"<START> Ni Mariano Trías y Closas ket isu ti naikapanunotan nga immuna a de facto a Bise Presidente ti Filipinas iti rebolusionario a gobierno a naibangon idiay Tejeros a Taripnnog - ti maysa a gimongan dagiti rebolusionario a daulo ti Pilinas a nagpili kadagiti opisial iti rebolusionario a tignay a simmupiat ti kolonial a gobierno iti Espania. Idi daytoy a gimongan ket nasinasina kadagiti nadumaduma a sangkatiponan, ti maysa a panagsardeng ti panagdangadanga ng ammo a kas ti Tulag iti Biak na Bato ket pinirmaan idi babaen ti grupo ken bumigbig paya kadagiti nabutosan nga opisial ken ni Trias a kas ti bise presidente ni Emilio Aguinaldo, nga isu pay ti naipanunotan nga immuna a Presidente iti Filipinas. Ti Umuna a Republika ti Filipinas ket naipasngay babaen ti panakaiwaragawag iti Batay-linteg ti Malolos babaen ti Malolos a Taripnoong. Babaen ti administrasion ni Aguinaldo, ni Trias ket nagserbi iti gabinete a kas ti Ministro ti Gubat ken Pinansia. <END>"
Francis Magalona,"<START> Ni Francis Magalona ket kumakanta ken artista manipud idiay Manila, Filipinas. <END>"
Susan Hayward,<START> Ni Susan Hayward ket maysa idi nga Amerikana nga aktres. <END>
Woody Allen,"<START> Ni Woody Allen ket maysa nga Amerikano nga aktor, komediante, agparpartuat iti pelikula ken dramaturgo a ti karerna ket sumakop kadagiti lima a dekada. <END>"
"Feliciano Belmonte, Jr.","<START> Ni Feliciano 'Sonny' Belmonte, Jr. ket kameng ti Kamara dagiti Pannakabagi ti Filipinas a mangirepresenta ti Maikapat a Distrito ti Siudad ti Quezon. Isu pay ti Tagabitla ti Kamara dagiti Pannakabagi ti Filipinas manipud idi 2010 agingga iti agdama. Isu ket nagserbi a kas Mayor ti Siudad ti Quezon manipud idi 2001 aginggana idi 2010. <END>"
Kevin Spacey,"<START> Ni Kevin Spacey Fowler, KBE, ket maysa nga Amerikano nga aktor, direktor ti pelikula, produser, kumakanta ken komidiante. Inrugina ti karerna a kas aktor ti entablado idi las-ud dagiti tawen ti 1980 sakbay a nakaala kadagiti pangsuporta a papel iti pelikula ken telebision. Isu ket nakaala iti nasayaat a pannakabigbig kadagiti nasapa a tawen ti 1990. Isu ket nangabak iti Kalaingan nga Aktor para iti American Beauty (1999). <END>"
Henry A. Wallace,"<START> Ni Henry Agard Wallace ket isu idi ti maika-33 a Bise Presidente iti Estados Unidos (1941–1945), ti Sekretario ti Agrikultura (1933–1940), ken ti Sekretario ti Komersio (1945–1946). Idi 1948 a panagbutos ti presidente, ni Wallace ket isu idi ti nominado ti Partido ti Panagrang-ay. <END>"
Marie Dressler,"<START> Ni Marie Dressler ket maysa idi a Kanadiana-Amerikana nga aktres ti entablado ken pelikula, komidiante ken aktres iti nasapa a silensio a pelikula. Isu ket nagballigi iti entablado ti bodebil ken dagiti opera ti komidia, isu ket nagballigi pay iti pelikula. Idi 1914, isu ket nagparang idi iti immuna a napno ti kaatiddogna a pelikula ti komedia ken kanungpalan a nangabak iti Kalaingan nga Aktres idi 1931. <END>"
Judy Holliday,"<START> Ni Judy Holliday ket maysa idi nga Amerikana nga aktres, komidiante, ken kumakanta. <END>"
Shirley Booth,"<START> Ni Shirley Booth ket maysa idi nga aktres ti entablado, pelikula, radio ken telebision. Nnagruna nga katres iti teatro, nangrugi ti pagsapulan ni Booth iti Broadway idi 1925. Ti kangrunaan idi a panagballigina ket kas ni Lola Delaney, iti drama ti Come Back, Little Sheba, a nakaawatanna iti Gunguna ti Tony idi 1950. Inrugina ti pagsapulanna iti pelikula iti panangipapelna manen iti bersion ti pelikula idi 1952 a nangabakanna iti Kalaingan nga Aktres ken ti Gunguna ti Nabalitokan a Globo para iti Kalaingan nga Aktres para itipanangipapelna. Urayno nagballigi iti ipapanna kadagiti pelikula, kinaykayatna ti panagarte iti entablado, ken nagaramid laeng kadagiti uppat pay a pelikula. <END>"
Loretta Young,"<START> Ni Loretta Young ket maysa idi nga Amerikana nga aktres. Nangrugi a kas ubing nga aktres, isu ket addaan idi iti napaut ken nagdumaduma a pagsapulan iti pelikula manipud idi 1917 aginggana idi 1953. Isu ket nangabak iti Kalaingan nga Aktres idi 1948 para iti papelna iti pelikula idi 1947 iti The Farmer's Daughter, ken nakaawat iti maysa a nominasion iti Oscar para iti papelna iti Come to the Stable, idi 1949. <END>"
Theodor Mommsen,"<START> Ni Christian Matthias Theodor Mommsen ket maysa idi nga Aleman a klasikal nga eskolar, historiador, hurista, agiwarwarnak, politiko, arkeologo ken mannurat a naamammuan a kas maysa kadagiti kalatakan a klasista iti maika-19 a siglo. Ti obrana amaipanggep ti Romano a pakasaritaan ket agdama pay laeng a naipangruna a kammasapulan para iti kontemporaneo a panagsukisok. Isu ket nagungunaan ti Premio Nobel iti Literatura idi 1902, ken idi pay ket maysa a prominente nga Aleman a politiko, a kas kameng ti parlamento ti Prusia ken Alemania. Dagiti obra iti Romano a linteg ken iti linteg kadagiti obligasion ket addaan idi ti nangruna a nagbanagan iti Aleman a kodigo sibil (BGB). <END>"
Joachim Gauck,"<START> Ni Joachim Gauck panangibalikas [joːˈʔaxiːm ɡaʊ̯k] ket nagserbi a kas Presidente ti Alemania manipud idi Marso 2012 aginggana idi Marso 2017. Isu ket dati a Luterano a pastor, isu ket naindayegan idi a kas maysa a kontra komunista nga aktibista ti karbengan a sibil idiay Daya nga Alemania. <END>"
Wolfgang Amadeus Mozart,<START> Ni Wolfgang Amadeus Mozart ket maysa kadagiti kapatgan ken kalatakan a kompositor ti klasikal a musika. <END>
Christian Wulff,"<START> Ni Christian Wilhelm Walter Wulff ket maysa nga Aleman a politiko ken abogado. Nagserbi a kas ti Presidente iti Alemania manipud idi 2010 aginggana ti 2012. Maysa a kameng iti Kappon ti Demokrata a Kristiano, nagserbi a kas ti Kangrunaan a Ministro iti estado iti Ababa a Sahonia manipud idi 2003 aginggana idi 2010. Nabutusan isuna a kas Presidente iti 30 Hunio 2010 a panagbutos ti presidente, nga inabakna ti kasupiatna a kandidato a ni Joachim Gauck ken nadagdagus a nagtakem iti opisina, uray no saan pay a nagsapata aginggana idi 2 Hulio. <END>"
Horst Köhler,<START> Ni Horst Köhler ket Aleman a politiko iti Kappon ti Kristiano a Demokratiko. Isu ti Presidente ti Alemania manipud idi 2004 aginggana idi 2010. <END>
Ludwig van Beethoven,"<START> Ni Ludwig van Beethoven ket maysa nga Aleman a kompositor ti klasikal a musica. Ibilang ti kaaduan a ni Beethoven ti maysa kadagiti naindaklan a kompositor iti pakasaritaan, bigbigen met ti dadduma nga isu ti kaindaklanan iti amin iti amin a panawen. <END>"
Rodolfo Biazon,"<START> Ni Rodolfo 'Pong' Gaspar Biazon ket politiko manipud idiay Filipinas. Isu ket dati a Senador. Isu ket nabutosan idi a kas Senador iti panagbubutos idi 1992 para kadagiti 3 a tawen a termino. Isu ket nabutosan idi iti immuna nga innem a tawen a terminona iti panagbubutos idi 1998, ken nabutosan manen iti panagbubutos idi 2004. Isu ket nagserbi a kas representatibo para iti bugbugtong a distrito ti Siudad ti Muntinlupa manipud idi 2010 aginggana idi 2016. <END>"
Edith Tiempo,"<START> Ni Edith L. Tiempo, iti Bayombong, Nueva Vizcaya, ken maysa a mannaniw, piksionista, mannursuro ken kritiko iti literatura ket maysa kadagiti maibilang a kalaingan a Filipino a mannurat iti pagsasao nga Ingles. Maysa kadagiti mabigbig a panuli ti literatura nga Ingles iti Filipinas. Kaduana ti asawana a ni Edilberto K. Tiempo, maysa a mabigbig a mannurat ken kritiko iti literatura, binangonda idi 1962 ti nalatak a Nailian a Workshop dagiti Mannurat iti Silliman iti Siudad ti Dumaguete. <END>"
Eraño Manalo,"<START> Ni Eraño de Guzman Manalo, a namammuan pay a kas ni Ka Erdy, ket isu idi ti maikadua a Ehekutibo a Ministro iti Iglesia ni Cristo, a nagserbi manipud idi 1963 aginggana idi 2009. <END>"
Hermann Hesse,<START> Ni Hermann Hesse ket maysa a nobelista ken mannaniw nga Aleman ken Suiso a napadayawan iti Premio Nobel iti Literatura idi 1946. Iti kalatakan nga obrana ket ti Steppenwolf ken Siddhartha. <END>
Melissa de la Cruz,"<START> Ni Melissa de la Cruz ket Filipina-Amerikana a mannurat nga ammo para iti obrana iti piksion ti ubing a manakman. Isu ket nakasuraten kadagiti nadumaduma a serye dagiti nobela ti ubing a manakman a mairaman ti serye ti Au Pair ken ti serye ti Blue Bloods, ken ti serye ti maysa a kontemporario a piksion a sumurot iti The Beauchamp Family, ken dagiti bilang ti agmaymaysa a nobela. <END>"
Miguel de Benavides,"<START> Ni Miguel de Benavides y Añoza ket maysa idi a klero a Kastila ken sinologo, ti immuna nga Obispo ti Mitra ti Nueva Segovia, ti maiaktlo nga arsobispo ti Arkidiosesis ti Manila, ken ti nagpundar ti Unibersidad ti Santo Tomas idiay Manila. <END>"
Renato Corona,"<START> Ni Renato Tirso Antonio Coronado Corona ket isu idi ti maika-23 a Pangulo ti Hustisia ti Kangatuan a Korte ti Filipinas. Isu ket nagserbi a kas maysa a Katakunaynay a Hustisia ti Kangatuan a Korte kalpasan iti pannakaidutok babaen ni Presidente Gloria Macapagal-Arroyo idi Abril 9, 2002 ken kalpasanna a kas Hepe ti Hustisia idi Mayo 12, 2010 kalpasan idi nagretiro ni Hepe ti Hustisia a ni Reynato Puno. <END>"
Yū Aoi,<START> Ni Yu Aoi  ket Haponesa nga aktres ken modelo. <END>
Charles W. Fairbanks,<START> Ni Charles Warren Fairbanks ket maysa nga Amerikano a politiko a nagserbi a kas maysa a Senador manipud idiay Indiana manipud idi 1897 aginggana idi 1905 ken ti maika-26 a Bise Presidente iti Estados Unidos manipud idi 1905 aginggana idi 1909. <END>
Casey Affleck,"<START> Ni Caleb Casey McGuire Affleck-Boldt, kaaduan nga ammo a kas ni Casey Affleck, ket maysa nga Amerikano nga aktor ken direktor. Inrugina ti pagsapulanna kas ubing nga aktor, nagparparang isuna iti sine ti telebision ti PBS iti Lemon Sky (1988) ken ti miniserye ti ABC iti The Kennedys of Massachusetts (1990). Nagparang pay osuna kadagiti tallo a pelikula ni Gus Van Sant – iti To Die For (1995), Good Will Hunting (1997), ken Gerry (2002) – ken iti trilohia a komedia ni Steven Soderbergh iti Ocean's Eleven (2001), Ocean's Twelve (2004) ken Ocean's Thirteen (2007). Ti immuna panagbidana ket ti nawaya a komedia-drama ni Steve Buscemi iti Lonesome Jim (2006). <END>"
Charles Curtis,"<START> Ni Charles Curtis ket maysa idi a Pannakabagi ti Estados Unidos, maysa a nabayag a Senador ti Estados Unidos manipud idiay Kansas ken kalpasan daytoy ket napili a kas ti Daulo ti Kaaduan ti Senado bbaaeb dagiti kumaduaanna a Republikano, ken ti maika-31 a Bise Presidente iti Estados Unidos (1929–1933). Isu ti immuna a tao nga adda ti naisangsangayna a naam-ammuan a Patneng nga Amerikano a kaputotan ken ti immuna nga adda ti naisangsangayan a naam-ammuan nga Europeano a kapututan a nakaabot kadagiti dua a kangatuan nga opisina ti ehekutibo a sanga ti gobierno ti Estados Unidos. Ti kaputotan a bangir ti inana ket tallo a pagkapat a Pantneng nga Amerikano, iti etniko a Kaw, Osage ken Pottawatomie a kapututan. Ni Curtis ket naggigian idi ubing idiay pagtaengan dagiti apongna iti inana a bangir idiay resebasion ti Kaw. <END>"
Gloria Diaz,"<START> NI Gloria Aspillera Diaz ket Filipina nga aktres, mangsangsangili iti telebision ken reina ti kapintas nga isu idi ti immuna a Filipina a nangabak iti balangat ti Miss Universe idi 1969 idiay Miami Beach, Florida. <END>"
Kazuo Ishiguro,"<START> Ni Kazuo Ishiguro ket ti nangabak iti Premio Nobel nga Ingles a nobelista, mannurat iti senario, ken mannurat iti ababa a sarita. Isu ket naiyanak idiay Nagasaki, Hapon; ti pamiliana ket immalisda idiay Inglatera idi 1960 idi isu ket agtawen iti lima. Nagturpos ni Ishiguro manipud iti Unibersidad ti Kent iti grado ti titulo iti Ingles ken Pilosopia idi 1978 ken nakagun-od iti master manipud iti kurso iti kreatibo a panagsurat idiay Unibersidad ti East Anglia idi 1980. <END>"
Conrad Bain,<START> Ni Conrad Stafford Bain ket maysa idi a naipasngay idiay Kanada nga Amerikano nga aktor. Dagiti inar-aramidna iti telebision ket mairan ti panagbida a papelna a kas ni Phillip Drummond iti komedia a serie ti telebision iti Diff’rent Strokes ken kas ni Dr. Arthur Harmon iti Maude. <END>
John C. Breckinridge,"<START> Ni John Cabell Breckinridge ket maysa idi nga Amerikano nga abogado ken politiko. Isu ket nagserbi a kas ti Pannakabagi ti Estados Unidos ken [[Senado ti Estados Unidos|Senador ti Estados Unidos] manipud idiay Kentucky ken isu idi ti maika-14 a Bise Presidente iti Estados Unidos (1857–1861), iti daytoy a petsa isu ti kaubingan a bise presidente iti pakasaritaan ti Estados Unidos, nga isu ke tnabutosan idi agtawen iti 35 ken nangrugi idi agtawen iti 36. <END>"
