Title,First Paragraph
Luisito Espinosa,"Luisito Pio Espinosa is a Filipino actor and former professional boxer who competed from 1984 to 2005. He is a world champion in two weight classes, having held the WBA bantamweight title from 1989 to 1991 and the WBC featherweight title from 1995 to 1999."
Caroline Corr,"Caroline Georgina Corr MBE is an Irish singer and drummer for the Celtic folk rock band The Corrs. In addition to the drums, she plays the bodhrán, cajón, percussions and piano."
Kim Young-sam,"Kim Young-sam, often referred to by his initials YS, was a South Korean politician and activist who served as the 7th president of South Korea from 1993 to 1998."
Giorgos Seferis,"Giorgos or George Seferis, the pen name of Georgios Seferiadis, was a Greek poet and diplomat. He was one of the most important Greek poets of the 20th century, and a Nobel laureate."
Isidor Isaac Rabi,"Isidor Isaac Rabi was an American physicist who won the Nobel Prize in Physics in 1944 for his discovery of nuclear magnetic resonance, which is used in magnetic resonance imaging (MRI). He was also one of the first scientists in the United States to work on the cavity magnetron, which is used in microwave radar and microwave ovens."
Geoffrey Rush,"Geoffrey Roy Rush is an Australian actor. Known for often playing eccentric roles on both stage and screen, he has received numerous accolades, including an Academy Award, a Primetime Emmy Award and a Tony Award, making him the only Australian to achieve the Triple Crown of Acting, in addition to three BAFTA Awards and two Golden Globe Awards. Rush is the founding president of the Australian Academy of Cinema and Television Arts and was named the 2012 Australian of the Year."
Wen Jiabao,"Wen Jiabao is a Chinese retired politician who served as the premier of China from 2003 to 2013. In his capacity as head of government, Wen was regarded as the leading figure behind China's economic policy. From 2002 to 2012, he held membership in the Politburo Standing Committee of the Chinese Communist Party, the country's de facto top power organ, where he was ranked third out of nine members and after general secretary Hu Jintao and Wu Bangguo, chairman of the Standing Committee of the National People's Congress."
Daniel Day-Lewis,"Sir Daniel Michael Blake Day-Lewis is an English retired actor. Often described as one of the greatest actors in the history of cinema, he received numerous accolades throughout his career, which spanned over four decades, including three Academy Awards, four BAFTA Awards, three Screen Actors Guild Awards and two Golden Globe Awards. In 2014, Day-Lewis received a knighthood for services to drama."
Julio Díaz,"Julio Díaz may refer to:Julio Díaz (footballer), Spanish footballer
Julio Diaz (actor), Filipino actor
Julio Díaz (boxer), Mexican boxer
"
Jon Voight,"Jonathan Vincent ""Jon"" Voight is an American actor. Voight is associated with the angst and unruliness that typified the late-1960s counterculture. He has received numerous accolades, including an Academy Award, a BAFTA Award, and four Golden Globe Awards as well as nominations for four Primetime Emmy Awards. In 2019, he was awarded the National Medal of Arts. Films in which Voight has appeared have grossed more than $5.2 billion worldwide."
Jean Marais,"Jean-Alfred Villain-Marais, known professionally as Jean Marais, was a French actor, film director, theatre director, painter, sculptor, visual artist, writer and photographer. He performed in over 100 films and was the lover, muse and friend of acclaimed director Jean Cocteau. In 1996, he was awarded the French Legion of Honor for his contributions to French cinema."
Agatha Barbara,"Agatha Barbara, was a Maltese politician, having served as a Labour Member of Parliament and Minister. She was the first woman to serve as president of Malta, and remains the longest-serving woman Member of Parliament in Maltese political history."
Edgar Allan Poe,"Edgar Allan Poe was an American writer, poet, author, editor, and literary critic who is best known for his poetry and short stories, particularly his tales of mystery and the macabre. He is widely regarded as a central figure of Romanticism and Gothic fiction in the United States, and of American literature. Poe was one of the country's earliest practitioners of the short story, and is considered the inventor of the detective fiction genre, as well as a significant contributor to the emerging genre of science fiction. He is the first well-known American writer to earn a living through writing alone, resulting in a financially difficult life and career."
Faye Dunaway,"Dorothy Faye Dunaway is an American actress. She is the recipient of many accolades, including an Academy Award, a Primetime Emmy Award, three Golden Globe Awards, and a BAFTA Award. In 2011, the government of France made her an Officer of the Order of Arts and Letters."
Emma Thompson,"Dame Emma Thompson is an English actress and writer. She has received numerous accolades throughout her career spanning more than four decades, including two Academy Awards, three BAFTA Awards, two Golden Globe Awards and a Primetime Emmy Award. In 2018, she was made a Dame (DBE) by Queen Elizabeth II for her contributions to drama."
Joe Alaskey,"Joseph Francis Alaskey III was an American actor and comedian. He was one of Mel Blanc's successors at the Warner Bros. Animation studio until his death. He alternated with Jeff Bergman, Greg Burson, Jim Cummings, Bob Bergen, Maurice LaMarche, and Billy West in voicing Warner Bros. cartoon characters such as Bugs Bunny, Daffy Duck, Porky Pig, Sylvester, Tweety, Elmer Fudd, Yosemite Sam, Foghorn Leghorn, Pepé Le Pew, Marvin the Martian, Speedy Gonzales, Wile E. Coyote, Road Runner and Taz, among many others. He also voiced Plucky Duck on Tiny Toon Adventures from 1990 to 1995. Alaskey was the second actor to voice Grandpa Lou Pickles on the Nickelodeon cartoon Rugrats. He voiced Lou again in the Rugrats spin-off series All Grown Up!."
Owen Willans Richardson,"Sir Owen Willans Richardson, FRS was a British physicist who won the Nobel Prize in Physics in 1928 for his work on thermionic emission, which led to Richardson's law."
Carl David Anderson,"Carl David Anderson was an American physicist. He is best known for his discovery of the positron in 1932, an achievement for which he received the 1936 Nobel Prize in Physics, and of the muon in 1936."
Ernest Lawrence,"Ernest Orlando Lawrence was an American nuclear physicist and winner of the Nobel Prize in Physics in 1939 for his invention of the cyclotron. He is known for his work on uranium-isotope separation for the Manhattan Project, as well as for founding the Lawrence Berkeley National Laboratory and the Lawrence Livermore National Laboratory."
Helen Hunt,"Helen Elizabeth Hunt is an American actress and director. Her accolades include an Academy Award, four Primetime Emmy Awards, and four Golden Globe Awards."
Enrico Caruso,"Enrico Caruso was an Italian operatic first lyric tenor then dramatic tenor. He sang to great acclaim at the major opera houses of Europe and the Americas, appearing in a wide variety of roles that ranged from the lyric to the dramatic. One of the first major singing talents to be commercially recorded, Caruso made 247 commercially released recordings from 1902 to 1920, which made him an internationally popular entertainment star."
Manne Siegbahn,"Karl Manne Georg Siegbahn FRS(For) HFRSE was a Swedish physicist who was awarded the Nobel Prize in Physics in 1924 ""for his discoveries and research in the field of X-ray spectroscopy""."
Robert Duvall,"Robert Selden Duvall is an American actor and filmmaker. With a career spanning seven decades, he is the recipient of an Academy Award, four Golden Globe Awards, a BAFTA Award, two Primetime Emmy Awards, and a Screen Actors Guild Award."
Jeremy Irons,"Jeremy John Irons is an English actor and activist. He is known for his roles on stage and screen having won numerous accolades including an Academy Award, two Golden Globe Awards, three Primetime Emmy Awards, and a Tony Award. He is one of the few actors who has achieved the ""Triple Crown of Acting"" having won Oscar, Emmy, and Tony Awards for Film, Television and Theatre."
Jamie Foxx,"Eric Marlon Bishop, known professionally as Jamie Foxx, is an American actor, comedian, and singer. He received acclaim for his portrayal of Ray Charles in the film Ray (2004), winning the Academy Award, BAFTA, Screen Actors Guild Award, and Golden Globe Award for Best Actor. That same year, he was nominated for the Academy Award for Best Supporting Actor for his role in the crime film Collateral."
Maggie Smith,"Dame Margaret Natalie Smith is an English actress. Known for her wit in comedic roles, she has had an extensive career on stage and screen over seven decades and is one of Britain's most recognisable and prolific actresses. She has received numerous accolades including two Academy Awards, five BAFTA Awards, four Emmy Awards, three Golden Globe Awards, and a Tony Award, making her one of the few performers to earn the Triple Crown of Acting."
Ben Kingsley,"Sir Ben Kingsley is an English actor. He has received various accolades throughout his career spanning five decades, including an Academy Award, a BAFTA Award, a Grammy Award, and two Golden Globe Awards as well as nominations for four Primetime Emmy Awards and two Laurence Olivier Awards. Kingsley was appointed Knight Bachelor in 2002 for services to the British film industry. He awarded a star on the Hollywood Walk of Fame in 2010 and received Britannia Award in 2013."
Jessica Lange,"Jessica Phyllis Lange is an American actress. Known for her performances on stage and screen she has received numerous accolades and is one of the few performers to achieve the Triple Crown of Acting, having received two Academy Awards, three Primetime Emmy Awards, and a Tony Award, along with five Golden Globe Awards and one Screen Actors Guild Award."
Katie Webster,"Katie Webster, born Kathryn Jewel Thorne, was an American boogie-woogie pianist."
Eufranio Eriguel,"Eufranio ""Franny"" Chan Eriguel, M.D. was a Filipino medical doctor and politician from La Union, who was assassinated in an ambush on May 12, 2018."
Kenny Neal,"Kenny Neal, is an American blues guitar player, singer and band member."
Jeff Bridges,"Jeffrey Leon Bridges is an American actor. He is known for his leading man roles in film and television. In a career spanning over seven decades he has received various accolades, including an Academy Award, a Golden Globe, and a Screen Actors Guild Award in addition to nominations for three BAFTA Awards and two Emmy Awards. In 2019 he was awarded the Cecil B. DeMille Award."
Louis Armstrong,"Louis Daniel Armstrong, nicknamed ""Satchmo"", ""Satch"", and ""Pops"", was an American trumpeter and vocalist. He was among the most influential figures in jazz. His career spanned five decades and several eras in the history of jazz. He received numerous accolades including the Grammy Award for Best Male Vocal Performance for Hello, Dolly! in 1965, as well as a posthumous win for the Grammy Lifetime Achievement Award in 1972, and induction into the National Rhythm & Blues Hall of Fame in 2017."
Peter Sellers,"Peter Sellers was an English actor and comedian. He first came to prominence performing in the BBC Radio comedy series The Goon Show. Sellers featured on a number of hit comic songs, and became known to a worldwide audience through his many film roles, among them Chief Inspector Clouseau in The Pink Panther series."
Kristen Bell,"Kristen Anne Bell is an American actress. She began her acting career starring in stage productions, while attending the Tisch School of the Arts at New York University. She made her Broadway stage debut as Becky Thatcher in the comedy musical The Adventures of Tom Sawyer and appeared in a Broadway revival of The Crucible the following year. She later appeared in the action thriller film Spartan (2004) and received praise for her performance in the television drama film Gracie's Choice (2004)."
Aaron Burr,"Aaron Burr Jr. was an American politician, businessman, lawyer, and Founding Father who served as the third vice president of the United States from 1801 to 1805 during Thomas Jefferson's first presidential term. He founded the Manhattan Company on September 1, 1799. Burr is remembered for his famous personal and political conflict with Alexander Hamilton, which culminated in the Burr–Hamilton duel in Weehawken, New Jersey on July 11, 1804. Burr mortally wounded Hamilton, who died from his wounds the following day."
Giovanni Pierluigi da Palestrina,"Giovanni Pierluigi da Palestrina was an Italian composer of late Renaissance music. The central representative of the Roman School, with Orlande de Lassus and Tomás Luis de Victoria, Palestrina is considered the leading composer of late 16th-century Europe."
Philip Seymour Hoffman,"Philip Seymour Hoffman was an American actor. Known for his distinctive supporting and character roles—eccentrics, underdogs, and misfits—he acted in many films and theatrical productions, including leading roles, from the early 1990s until his death in 2014. He was voted one of the 50 greatest actors of all time in a 2022 readers' poll by Empire magazine."
Shia LaBeouf,"Shia Saide LaBeouf is an American actor, performance artist, and filmmaker. He played Louis Stevens in the Disney Channel series Even Stevens, a role for which he received Young Artist Award nominations in 2001 and 2002 and won a Daytime Emmy Award in 2003. He made his film debut in The Christmas Path (1998). In 2004, he made his directorial debut with the short film Let's Love Hate and later directed a short film titled Maniac (2011), starring American rappers Cage and Kid Cudi."
Jimmy Wales,"Jimmy Donal ""Jimbo"" Wales is a British-American Internet entrepreneur, webmaster, and former financial trader. He is a co-founder of Wikipedia and the for-profit wiki hosting service Fandom. He has worked on other online projects, including Bomis, Nupedia, WikiTribune, and WT Social."
Julie Christie,"Julie Frances Christie is a British actress. An icon of the Swinging Sixties, Christie is the recipient of numerous accolades including an Academy Award, a BAFTA Award, a Golden Globe, and a Screen Actors Guild Award. She has appeared in six films ranked in the British Film Institute's BFI Top 100 British films of the 20th century, and in 1997, she received the BAFTA Fellowship for lifetime achievement."
Gao Xingjian,"Gao Xingjian is a Chinese émigré and later French naturalized novelist, playwright, critic, painter, photographer, film director, and translator who in 2000 was awarded the Nobel Prize in Literature ""for an oeuvre of universal validity, bitter insights and linguistic ingenuity."" He is also a noted translator, screenwriter, stage director, and a celebrated painter."
Ray Milland,"Ray Milland was a Welsh-American actor and film director. He is often remembered for his portrayal of an alcoholic writer in Billy Wilder's The Lost Weekend (1945), which won him Best Actor at Cannes, a Golden Globe Award, and ultimately an Academy Award—the first such accolades for any Welsh actor."
Ronald Colman,"Ronald Charles Colman was an English-born actor, starting his career in theatre and silent film in his native country, then emigrating to the United States and having a highly successful Hollywood film career. He starred in silent films and successfully transitioned to sound, aided by a distinctive, pleasing voice. He was most popular during the 1920s, 1930s and 1940s. He received Oscar nominations for Bulldog Drummond (1929), Condemned (1929) and Random Harvest (1942). Colman starred in several classic films, including A Tale of Two Cities (1935), Lost Horizon (1937) and The Prisoner of Zenda (1937). He also played the starring role in the Technicolor classic Kismet (1944), with Marlene Dietrich, which was nominated for four Academy Awards. In 1947, he won an Academy Award for Best Actor and Golden Globe Award for Best Actor for the film A Double Life."
Richard Dreyfuss,"Richard Stephen Dreyfuss is an American actor. He is known for starring in popular films during the 1970s, 1980s, and 1990s, including American Graffiti (1973), Jaws (1975), Close Encounters of the Third Kind (1977), The Goodbye Girl (1977), The Competition (1980), Stand by Me (1986), Down and Out in Beverly Hills (1986), Stakeout (1987), Nuts (1987), Always (1989), What About Bob? (1991), The American President (1995), and Mr. Holland's Opus (1995)."
Fredric March,"Fredric March was an American actor, regarded as one of Hollywood's most celebrated stars of the 1930s and 1940s. As a performer he was known for his versatility. He received numerous accolades including two Academy Awards, a Golden Globe Award, and two Tony Awards as well as nominations for three BAFTA Awards and three Emmy Awards."
Rex Harrison,"Sir Reginald Carey ""Rex"" Harrison was an English actor. Harrison began his career on the stage in 1924. He made his West End debut in 1936 appearing in the Terence Rattigan play French Without Tears, in what was his breakthrough role. He won his first Tony Award for Best Actor in a Play for his performance as Henry VIII in the Broadway play Anne of the Thousand Days in 1949. He returned to Broadway portraying Professor Henry Higgins in My Fair Lady (1956) where he won the Tony Award for Best Actor in a Musical."
Cliff Robertson,"Clifford Parker Robertson III was an American actor whose career in film and television spanned over six decades. Robertson portrayed a young John F. Kennedy in the 1963 film PT 109, and won the 1968 Academy Award for Best Actor for his role in the film Charly."
David Niven,"James David Graham Niven was a British actor, soldier, memoirist, and novelist. Niven was known as a handsome and debonair leading man in Classic Hollywood films. He received an Academy Award and a Golden Globe Award."
F. Murray Abraham,"F. Murray Abraham is an American actor. Known for his roles on stage and screen, he has received an Academy Award and a Golden Globe Award as well as nominations for a BAFTA Award, four Emmy Awards, and a Grammy Award. He came to prominence for his portrayal of Antonio Salieri in the drama film Amadeus (1984) for which he won an Academy Award for Best Actor."
Paul Lukas,"Paul Lukas was a Hungarian actor. He won the Academy Award for Best Actor, and the first Golden Globe Award for Best Actor – Motion Picture Drama, for his performance in the film Watch on the Rhine (1943), reprising the role he created on the Broadway stage."
Jessica Tandy,"Jessie Alice Tandy was an English actress. Tandy appeared in over 100 stage productions and had more than 60 roles in film and TV, receiving an Academy Award, four Tony Awards, a BAFTA Award, a Golden Globe Award, and a Primetime Emmy Award. She won a Tony Award for Best Actress in a Play for playing Blanche DuBois in the original Broadway production of A Streetcar Named Desire in 1948, also winning for The Gin Game and Foxfire. Her films included Alfred Hitchcock's The Birds, Cocoon, Fried Green Tomatoes, and Nobody's Fool. At 80, she became the oldest actress to win the Academy Award for Best Actress for her role in Driving Miss Daisy."
George Arliss,"George Arliss was an English actor, author, playwright, and filmmaker who found success in the United States. He was the first British actor to win an Academy Award – which he won for his performance as Victorian-era British prime minister Benjamin Disraeli in Disraeli (1929) – as well as the earliest-born actor of any category to win the honour. He specialized in successful biopics, such as Disraeli, Voltaire (1933), and Cardinal Richelieu (1935), as well as light comedies, which included The Millionaire (1931) and A Successful Calamity (1932)."
Paul Muni,"Paul Muni was an American stage and film actor from Chicago. He started his acting career in the Yiddish theater and during the 1930s, he was considered one of the most prestigious actors at the Warner Bros. studio and was given the rare privilege of choosing his own parts."
Broderick Crawford,"William Broderick Crawford was an American actor. He is best known for his portrayal of Willie Stark in the film All the King's Men (1949), which earned him an Academy Award and a Golden Globe Award. Often cast in tough-guy or slob roles, he later achieved recognition for his starring role as Dan Mathews in the crime television series Highway Patrol (1955–1959)."
Louise Fletcher,"Estelle Louise Fletcher was an American actress. She is best known for her portrayal of the antagonist Nurse Ratched in the film One Flew Over the Cuckoo's Nest (1975), which earned her numerous accolades, including the Academy Award, BAFTA Award, and Golden Globe Award for Best Actress."
Glenda Jackson,"Glenda May Jackson was an English actress and politician. Over the course of her distinguished career she received numerous accolades including two Academy Awards, two BAFTA Awards, three Emmy Awards, a Golden Globe Award, and a Tony Award. A member of the Labour Party, she served continuously as a Member of Parliament (MP) for 23 years, initially for Hampstead and Highgate from 1992 to 2010, and Hampstead and Kilburn from 2010 to 2015, following boundary changes."
Art Carney,"Arthur William Matthew Carney was an American actor and comedian. A recipient of an Academy Award, a Golden Globe Award, and six Primetime Emmy Awards, he was best known for his role as Ed Norton on the sitcom The Honeymooners (1955–1956)."
George C. Scott,"George Campbell Scott was an American actor, director and producer. He had a celebrated career on both stage and screen. With a gruff demeanor and commanding presence, Scott became known for his portrayal of stern but complex authority figures."
Janet Gaynor,"Janet Gaynor was an American film, stage and television actress."
Greer Garson,Eileen Evelyn Greer Garson was a British-American actress and singer. She was a major star at Metro-Goldwyn-Mayer who became popular during the Second World War for her portrayal of strong women on the homefront; listed by the Motion Picture Herald as one of America's top-10 box office draws from 1942 to 1946.
Shirley Temple,"Shirley Temple Black was an American actress, singer, dancer, and diplomat, who was Hollywood's number-one box-office draw as a child actress from 1934 to 1938. Later, she was named United States Ambassador to Ghana and Czechoslovakia, and also served as Chief of Protocol of the United States."
Harper Lee,"Nelle Harper Lee was an American novelist whose 1960 novel To Kill a Mockingbird won the 1961 Pulitzer Prize and became a classic of modern American literature. She assisted her close friend Truman Capote in his research for the book In Cold Blood (1966). Her second and final novel, Go Set a Watchman, was an earlier draft of Mockingbird that was published in July 2015 as a sequel."
Valdis Zatlers,Valdis Zatlers is a Latvian politician and former physician who served as the seventh president of Latvia from 2007 to 2011. He won the Latvian presidential election of 31 May 2007. He became President of Latvia on 8 July 2007 and left office on 7 July 2011 after failing to win reelection for a second term.
Forest Whitaker,"Forest Steven Whitaker is an American actor, producer and director. He is the recipient of various accolades, including an Academy Award, a Golden Globe Award, a British Academy Film Award, and two Screen Actors Guild Awards."
Anne Bancroft,"Anne Bancroft was an American actress. Respected for her acting prowess and versatility, Bancroft received an Academy Award, three BAFTA Awards, two Golden Globe Awards, two Tony Awards, two Primetime Emmy Awards, and a Cannes Film Festival Award. She is one of only 24 thespians to achieve the Triple Crown of Acting."
Charles G. Dawes,Charles Gates Dawes was an American diplomat and Republican politician who was the 30th vice president of the United States from 1925 to 1929 under Calvin Coolidge. He was a co-recipient of the Nobel Peace Prize in 1925 for his work on the Dawes Plan for World War I reparations.
Mikey Arroyo,"Juan Miguel ""Mikey"" Macapagal Arroyo is a Filipino politician and former actor who served as the Representative of Pampanga's 2nd district from 2019 to 2022 and previously from 2004 to 2010. He previously served as the vice governor of Pampanga from 2001 to 2004. Born into the Macapagal family of Pampanga, his mother, Gloria Macapagal Arroyo, served as the 14th president of the Philippines, while his grandfather, Diosdado Macapagal, was the 9th president."
Chang Myon,"Chang Myon was a South Korean statesman, educator, diplomat, journalist and social activist as well as a Roman Catholic youth activist. He was the only prime minister of the parliamentary Second Republic. In addition, during the First Republic he was the fourth and last vice president of South Korea. His art name was Unseok (운석). His English name was John Chang Myon."
Lonnie Brooks,"Lonnie Brooks was an American blues singer and guitarist. The musicologist Robert Palmer, writing in Rolling Stone, stated, ""His music is witty, soulful and ferociously energetic, brimming with novel harmonic turnarounds, committed vocals and simply astonishing guitar work."" Jon Pareles, a music critic for the New York Times, wrote, ""He sings in a rowdy baritone, sliding and rasping in songs that celebrate lust, fulfilled and unfulfilled; his guitar solos are pointed and unhurried, with a tone that slices cleanly across the beat. Wearing a cowboy hat, he looks like the embodiment of a good-time bluesman."" Howard Reich, a music critic for the Chicago Tribune, wrote, ""...the music that thundered from Brooks' instrument and voice...shook the room. His sound was so huge and delivery so ferocious as to make everything alongside him seem a little smaller."""
Sally Field,"Sally Margaret Field is an American actress. Known for her extensive work on screen and stage, she has received many accolades throughout her career spanning five decades, including two Academy Awards, two Golden Globe Awards, and three Primetime Emmy Awards, in addition to nominations for a Tony Award and two British Academy Film Awards. She was presented with a star on the Hollywood Walk of Fame in 2014, the National Medal of Arts in 2014, the Kennedy Center Honor in 2019, and the Screen Actors Guild Life Achievement Award in 2023."
Magic Slim,"Morris Holt, known as Magic Slim, was an American blues singer and guitarist. Born at Torrance, near Grenada, Mississippi, the son of sharecroppers, he followed blues greats such as Muddy Waters and Howlin' Wolf to Chicago, developing his own place in the Chicago blues scene."
Elisha Cuthbert,"Elisha Ann Cuthbert is a Canadian actress. As a child actress, she made her first televised appearance as an extra in the horror-themed series for children Are You Afraid of the Dark? and co-hosted Popular Mechanics for Kids. She made her feature-film debut in the 1997 Canadian family drama Dancing on the Moon. Her first major lead role came in the 1998 drama film Airspeed  alongside Joe Mantegna. In 2001, she starred in the movie Lucky Girl, for which she received her first award, the Gemini Awards."
Emilio Aguinaldo,"Emilio Aguinaldo y Famy was a Filipino revolutionary, statesman, and military leader who is the youngest president of the Philippines (1899–1901) and became the first president of the Philippines and of an Asian constitutional republic. He led the Philippine forces first against Spain in the Philippine Revolution (1896–1898), then in the Spanish–American War (1898), and finally against the United States during the Philippine–American War (1899–1901)."
Matthew McConaughey,"Matthew David McConaughey is an American actor. After becoming known for starring in romantic comedies such as The Wedding Planner (2001), he played a lead role in the science fiction film Contact (1997), and earned widespread acclaim for his role in the biopic Dallas Buyers Club (2013)."
B. B. King,"Riley B. King, known professionally as B. B. King, was an American blues guitarist, singer, songwriter, and record producer. He introduced a sophisticated style of soloing based on fluid string bending, shimmering vibrato, and staccato picking that influenced many later blues electric guitar players. AllMusic recognized King as ""the single most important electric guitarist of the last half of the 20th century""."
Jean Dujardin,"Jean Edmond Dujardin is a French actor and comedian. He began his career as a stand-up comedian in Paris before guest starring in comedic television programmes and films. He first came to prominence with the cult TV series Un gars, une fille (1999–2003), in which he starred alongside his partner Alexandra Lamy, before becoming a popular film actor with comedies such as Brice de Nice (2005), Michel Hazanavicius's OSS 117: Cairo, Nest of Spies (2006), its sequel OSS 117: Lost in Rio (2009), and 99 Francs (2007)."
Jennifer Lawrence,"Jennifer Shrader Lawrence is an American actress. She is known for starring in both action film franchises and independent dramas, and her films have grossed over $6 billion worldwide. The world's highest-paid actress in 2015 and 2016, she appeared in Time's 100 most influential people in the world list in 2013 and the Forbes Celebrity 100 list from 2013 to 2016."
Vigdís Finnbogadóttir," Vigdís Finnbogadóttir is an Icelandic politician who served as the fourth president of Iceland from 1980 to 1996. Vigdís is the first woman in the world to be democratically elected as president. Having served as president of Iceland for 16 years, she is the longest-serving elected female head of state in history. She is to date Iceland's only female President. Vigdís is a UNESCO Goodwill Ambassador and a member of the Club of Madrid."
Jennifer Jones,"Jennifer Jones, also known as Jennifer Jones Simon, was an American actress and mental-health advocate. Over the course of her career that spanned more than five decades, she was nominated for the Oscar five times, including one win for Best Actress, and a Golden Globe Award win for Best Actress in a Drama."
Luise Rainer,"Luise Rainer was a German-American-British film actress. She was the first thespian to win multiple Academy Awards, and the first to win back-to-back; at the time of her death, thirteen days shy of her 105th birthday, she was the longest-lived Oscar recipient, a superlative that has not been exceeded, as of 2024."
N. V. M. Gonzalez,"Néstor Vicente Madali González was a Filipino novelist, short story writer, essayist and, poet. Conferred as the National Artist of the Philippines for Literature in 1997."
Sissy Spacek,"Mary Elizabeth ""Sissy"" Spacek is an American actress. She is the recipient of numerous accolades, including an Academy Award, three Golden Globe Awards, a Screen Actors Guild Award, and nominations for four BAFTA Awards, three Primetime Emmy Awards, and a Grammy Award. Spacek was honored with a star on the Hollywood Walk of Fame in 2011."
Patricia Neal,"Patricia Neal was an American actress of stage and screen. She is well known for, among other roles, playing World War II widow Helen Benson in The Day the Earth Stood Still (1951), radio journalist Marcia Jeffries in A Face in the Crowd (1957), wealthy matron Emily Eustace Failenson in Breakfast at Tiffany's (1961), and the worn-out housekeeper Alma Brown in Hud (1963). She also featured as the matriarch in the television film The Homecoming: A Christmas Story (1971); her role as Olivia Walton was re-cast for the series it inspired, The Waltons. A major star of the 1950s and 1960s, she was the recipient of an Academy Award, a Golden Globe Award, a Tony Award, and two British Academy Film Awards, and was nominated for three Primetime Emmy Awards."
Henry Fonda,"Henry Jaynes Fonda was an American actor whose career spanned five decades on Broadway and in Hollywood. On screen and stage, he often portrayed characters that embodied an everyman image."
George Bernard Shaw,"George Bernard Shaw, known at his insistence as Bernard Shaw, was an Irish playwright, critic, polemicist and political activist. His influence on Western theatre, culture and politics extended from the 1880s to his death and beyond. He wrote more than sixty plays, including major works such as Man and Superman (1902), Pygmalion (1913) and Saint Joan (1923). With a range incorporating both contemporary satire and historical allegory, Shaw became the leading dramatist of his generation, and in 1925 was awarded the Nobel Prize in Literature."
Yun Chi-ho,"Yun Chi-ho was a Korean politician. His name is sometimes spelled Yun Tchi-Ho, his art name was Jwaong (좌옹), and his courtesy name was Seongheum (성흠)."
Robert Johnson,"Robert Leroy Johnson was an American blues musician and songwriter. His landmark recordings in 1936 and 1937 display a combination of singing, guitar skills, and songwriting talent that has influenced later generations of musicians. Although his recording career spanned only seven months, he is recognized as a master of the blues, particularly the Delta blues style, and one of the most influential musicians of the 20th century. The Rock and Roll Hall of Fame describes him as perhaps ""the first ever rock star""."
Judy Ann Santos,"Judy Anne Lumagui Santos is a Filipino actress and film producer. Prolific in film and television in the Philippines since the early 1990s, she is known for her comedic and dramatic roles in independent films and blockbusters, as well as for her portrayals of oppressed and impoverished women. She has received various accolades, including a Cairo International Film Festival Award, a Gawad Urian, two Luna Awards, two Metro Manila Film Festival Awards, and three FAMAS Awards."
Angel Locsin,"Angelica Locsin Colmenares is a Filipino actress and humanitarian. She is known for her dramatic roles and portrayals of heroines and mythological characters in film and television. She is a recipient of various accolades, including four Star Awards, three FAMAS Awards, two Box Office Entertainment Awards, and a Luna Award."
Maya Angelou,"Maya Angelou was an American memoirist, poet, and civil rights activist. She published seven autobiographies, three books of essays, several books of poetry, and is credited with a list of plays, movies, and television shows spanning over 50 years. She received dozens of awards and more than 50 honorary degrees. Angelou's series of seven autobiographies focus on her childhood and early adult experiences. The first, I Know Why the Caged Bird Sings (1969), tells of her life up to the age of 17 and brought her international recognition and acclaim."
Al Gore,"Albert Arnold Gore Jr. is an American politician, businessman, and environmentalist who served as the 45th vice president of the United States from 1993 to 2001 under President Bill Clinton. He previously served as a United States Senator from Tennessee from 1985 to 1993 and as a member of the U.S. House of Representatives from 1977 to 1985. Gore was the Democratic nominee for president of the United States in the 2000 presidential election, which he lost to George W. Bush."
Nick Joaquin,"Nicomedes ""Nick"" Marquez Joaquin was a Filipino writer and journalist best known for his short stories and novels in the English language. He also wrote using the pen name Quijano de Manila. Joaquin was conferred the rank and title of National Artist of the Philippines for Literature. He has been considered one of the most important Filipino writers, along with José Rizal and Claro M. Recto. Unlike Rizal and Recto, whose works were written in Spanish, Joaquin's major works were written in English despite being literate in Spanish."
Josh Duhamel,"Joshua David Duhamel is an American actor. After various modeling work, he made his acting debut as Leo du Pres on the ABC daytime soap opera All My Children and later starred as Danny McCoy on NBC's Las Vegas."
Steve Jobs,"Steven Paul Jobs was an American businessman, inventor, and investor best known for co-founding the technology giant Apple Inc. Jobs was also the founder of NeXT and chairman and majority shareholder of Pixar. He was a pioneer of the personal computer revolution of the 1970s and 1980s, along with his early business partner and fellow Apple co-founder Steve Wozniak."
Lady Gaga,"Stefani Joanne Angelina Germanotta, known professionally as Lady Gaga, is an American singer, songwriter and actress. She is known for reinventing her image and showcasing versatility in entertainment. Gaga started performing as a teenager by singing at open mic nights and acting in school plays. She studied Collaborative Arts Project 21 before leaving to pursue a music career. After a contract cancellation by Def Jam Recordings, Gaga worked as a songwriter for Sony/ATV Music Publishing. In 2007, she signed with Interscope Records and KonLive Distribution. Her breakthrough came the following year with her debut studio album, The Fame, and its singles ""Just Dance"" and ""Poker Face"". The album was later reissued along with The Fame Monster (2009), which yielded the successful singles ""Bad Romance"", ""Alejandro"" and ""Telephone""."
Adriano Celentano,"Adriano Celentano is an Italian singer, songwriter, actor, and filmmaker. He is dubbed Il Molleggiato because of his energetic dancing."
Stanley Kubrick,"Stanley Kubrick was an American filmmaker and photographer. Widely considered one of the greatest filmmakers of all time, his films were nearly all adaptations of novels or short stories, spanning a number of genres and gaining recognition for their intense attention to detail, innovative cinematography, extensive set design, and dark humor."
